AstraSim-FSW command/telemetry demo
Using FlightSoftwareApp core loop
Listening for UDP commands on port 6000
Sending UDP telemetry to 192.168.1.154:5005
TX telemetry seq=1 mode=BOOT fault=NONE sent=yes
TX telemetry seq=2 mode=BOOT fault=NONE sent=yes
TX telemetry seq=3 mode=BOOT fault=NONE sent=yes
TX telemetry seq=4 mode=BOOT fault=NONE sent=yes
TX telemetry seq=5 mode=BOOT fault=NONE sent=yes
TX telemetry seq=6 mode=BOOT fault=NONE sent=yes
TX telemetry seq=7 mode=BOOT fault=NONE sent=yes
TX telemetry seq=8 mode=BOOT fault=NONE sent=yes
TX telemetry seq=9 mode=BOOT fault=NONE sent=yes
TX telemetry seq=10 mode=BOOT fault=NONE sent=yes
TX telemetry seq=11 mode=BOOT fault=NONE sent=yes
TX telemetry seq=12 mode=BOOT fault=NONE sent=yes
TX telemetry seq=13 mode=BOOT fault=NONE sent=yes
RX command seq=1 id=SET_MODE status=ACCEPTED mode=NOMINAL fault=NONE msg="SET_MODE accepted"
TX telemetry seq=14 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=15 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=16 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=17 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=18 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=19 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=20 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=21 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=22 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=23 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=24 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=25 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=26 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=27 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=28 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=29 mode=NOMINAL fault=NONE sent=yes
RX command seq=2 id=INJECT_FAULT status=ACCEPTED mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD msg="INJECT_FAULT accepted"
TX telemetry seq=30 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=31 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=32 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=33 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=34 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=35 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=36 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=37 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=38 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=39 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=40 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=41 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=42 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=43 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=44 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
TX telemetry seq=45 mode=DEGRADED_PAYLOAD fault=CPU_OVERLOAD sent=yes
RX command seq=3 id=CLEAR_FAULT status=ACCEPTED mode=DEGRADED_PAYLOAD fault=NONE msg="Fault state cleared"
TX telemetry seq=46 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=47 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=48 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=49 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=50 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=51 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=52 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=53 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=54 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=55 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=56 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=57 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=58 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=59 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=60 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
TX telemetry seq=61 mode=DEGRADED_PAYLOAD fault=NONE sent=yes
RX command seq=4 id=SET_MODE status=ACCEPTED mode=NOMINAL fault=NONE msg="SET_MODE accepted"
TX telemetry seq=62 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=63 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=64 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=65 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=66 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=67 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=68 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=69 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=70 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=71 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=72 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=73 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=74 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=75 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=76 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=77 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=78 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=79 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=80 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=81 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=82 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=83 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=84 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=85 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=86 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=87 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=88 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=89 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=90 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=91 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=92 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=93 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=94 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=95 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=96 mode=NOMINAL fault=NONE sent=yes
TX telemetry seq=97 mode=NOMINAL fault=NONE sent=yes
